Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
1,41.43636648,0,0.0,17,502,0.0,0.014,19.7,0.0,May,1,1,1,2,Returning_Visitor,False,True
0,0.0,0,0.0,1,0,0.2,0.2,0.0,0.0,Mar,2,4,3,3,Returning_Visitor,False,False
8,139.50877808,0,0.0,9,198,0.0182,0.048,0.0,0.0,Nov,3,2,3,11,Returning_Visitor,False,False
0,0.0,1,3.22833413,108,7925,0.0012,0.016,20.1,0.0,Nov,1,1,1,2,Returning_Visitor,False,True
0,0.0,0,0.0,9,530,0.0134,0.067,0.0,0.0,Dec,2,2,4,2,Returning_Visitor,False,False
1,39.16380148,0,0.0,7,57,0.0,0.025,0.0,0.0,Mar,2,2,6,8,New_Visitor,False,False
0,0.0,0,0.0,59,4202,0.0,0.009,53.6,0.0,Nov,2,10,2,1,Returning_Visitor,True,True
14,173.07252428,2,45.80717977,53,2990,0.0366,0.051,0.0,0.0,Aug,3,2,1,3,Returning_Visitor,False,False
3,68.00160323,0,0.0,10,850,0.0,0.012,22.1,0.0,Nov,1,1,1,2,New_Visitor,False,True
4,100.86571987,0,0.0,27,1237,0.0048,0.04,0.0,0.0,Dec,2,2,1,1,Returning_Visitor,True,False
0,0.0,0,0.0,72,1461,0.0,0.009,0.0,0.0,May,2,4,3,4,Returning_Visitor,False,False
0,0.0,0,0.0,1,0,0.2,0.2,0.0,0.0,May,2,4,1,3,Returning_Visitor,False,False
0,0.0,0,0.0,4,70,0.1644,0.187,0.0,0.0,Jul,3,2,2,1,Returning_Visitor,False,False
11,1866.93633874,4,414.19442442,477,8213,0.0051,0.019,0.2,0.0,Nov,2,10,4,2,Returning_Visitor,False,True
20,268.5444541,9,166.20169443,141,4283,0.0195,0.022,8.4,0.0,Mar,1,2,1,2,Returning_Visitor,False,False
12,310.49422844,0,0.0,72,3520,0.0097,0.034,3.0,0.0,Nov,4,1,1,2,Returning_Visitor,False,False
4,41.91185912,2,27.14457974,10,433,0.0,0.009,0.0,0.0,Nov,2,2,9,11,Returning_Visitor,True,False
2,0.0,0,0.0,44,348,0.0074,0.026,0.0,0.0,Nov,2,2,3,8,Returning_Visitor,False,False
0,0.0,0,0.0,71,1289,0.0095,0.042,0.0,0.0,Nov,2,2,1,1,Returning_Visitor,False,False
6,222.97362219,0,0.0,26,1392,0.0048,0.01,10.6,0.0,Dec,2,2,1,1,Returning_Visitor,False,False
4,101.6812822,0,0.0,21,348,0.0021,0.026,0.0,0.0,Nov,3,2,4,4,Returning_Visitor,False,True
4,134.52173475,0,0.0,110,4251,0.0025,0.013,8.8,0.0,Nov,1,1,1,2,Returning_Visitor,False,True
0,0.0,0,0.0,17,279,0.0472,0.099,0.0,0.0,Nov,2,2,1,3,Returning_Visitor,False,False
5,54.69995556,0,0.0,59,2500,0.0,0.002,0.0,0.0,May,2,2,1,6,New_Visitor,True,False
4,1872.92121154,3,1361.34196818,23,3970,0.0,0.009,9.6,0.0,Dec,2,2,5,2,Returning_Visitor,False,True
0,0.0,0,0.0,3,196,0.0202,0.04,0.0,0.0,Mar,1,1,6,1,Returning_Visitor,False,False
1,6.00458145,0,0.0,17,271,0.0348,0.061,0.0,0.8,May,2,2,1,1,Returning_Visitor,False,False
21,321.49856739,2,455.94086736,105,4419,0.0021,0.013,0.0,0.0,Nov,2,2,1,10,Returning_Visitor,False,False
0,0.0,0,0.0,13,1004,0.0,0.022,0.0,0.0,Nov,2,6,4,2,Returning_Visitor,True,False
0,0.0,0,0.0,10,341,0.0,0.05,0.0,0.0,Mar,2,2,3,2,Returning_Visitor,True,False
8,130.84885995,1,0.0,72,2788,0.0098,0.025,6.5,0.0,Oct,4,1,1,3,Returning_Visitor,False,False
8,284.23977286,0,0.0,18,620,0.0,0.026,0.0,0.0,Mar,1,1,3,2,Returning_Visitor,False,True
1,15.43333813,2,93.4239958,3,66,0.0,0.033,0.0,0.0,Dec,2,2,2,6,New_Visitor,False,False
7,150.04597378,1,331.43233484,22,368,0.0131,0.037,0.0,0.0,Sep,3,2,8,3,Returning_Visitor,False,False
0,0.0,0,0.0,21,3058,0.0,0.008,0.0,0.8,May,2,2,8,2,Returning_Visitor,False,False
23,441.84261961,4,60.5966763,38,1696,0.0044,0.017,4.6,0.0,Dec,3,2,3,10,Returning_Visitor,True,True
0,0.0,0,0.0,12,539,0.0,0.034,11.3,0.0,Dec,2,6,4,2,Returning_Visitor,False,True
0,0.0,0,0.0,12,151,0.0167,0.053,0.0,0.6,Feb,3,2,1,6,Returning_Visitor,False,False
0,0.0,0,0.0,14,764,0.0262,0.038,0.0,0.0,Dec,1,1,3,2,Returning_Visitor,True,False
0,0.0,0,0.0,14,2911,0.0,0.015,0.0,0.0,Nov,2,2,5,2,Returning_Visitor,False,False
0,0.0,4,75.39037164,177,6696,0.0044,0.017,4.8,0.0,Nov,2,6,1,2,Returning_Visitor,True,False
14,348.1115993,8,87.5236058,48,1096,0.0073,0.015,31.7,0.0,Dec,1,2,3,2,Returning_Visitor,False,False
3,139.39386586,1,140.81491001,57,4052,0.0034,0.018,32.7,0.0,May,2,2,3,2,Returning_Visitor,True,False
4,20.95741157,0,0.0,19,553,0.0,0.012,0.0,0.0,May,2,5,1,4,Returning_Visitor,False,False
5,39.45985073,0,0.0,25,433,0.0,0.01,0.0,0.0,Sep,2,2,7,2,New_Visitor,False,False
4,52.7083129,0,0.0,38,1647,0.0,0.034,0.0,0.0,Aug,2,5,9,3,Returning_Visitor,False,False
10,246.71904351,0,0.0,66,1548,0.0043,0.029,0.0,0.0,Oct,4,2,1,19,Returning_Visitor,False,False
7,43.66178691,0,0.0,13,433,0.0,0.007,0.0,0.0,May,2,2,7,2,Returning_Visitor,False,False
3,46.50823448,0,0.0,29,730,0.0261,0.045,0.0,0.0,Jul,3,2,2,3,Returning_Visitor,True,False
20,1630.78602256,0,0.0,31,777,0.0309,0.044,0.0,0.2,May,2,2,8,3,Returning_Visitor,False,False
2,100.75169187,0,0.0,68,1582,0.0026,0.013,0.5,0.0,Mar,4,2,3,2,Returning_Visitor,False,False
1,66.55230506,3,438.71797179,57,800,0.0,0.006,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
1,66.70394902,0,0.0,3,24,0.0731,0.025,0.0,0.8,May,3,2,1,3,Returning_Visitor,False,False
0,0.0,0,0.0,33,1303,0.005,0.027,0.0,0.0,Dec,4,2,1,10,Returning_Visitor,False,False
0,0.0,0,0.0,8,88,0.0,0.055,0.0,0.0,Nov,2,5,3,1,Returning_Visitor,True,False
0,0.0,0,0.0,19,1547,0.0,0.015,0.0,0.0,May,3,2,1,13,Returning_Visitor,False,False
5,248.63762626,1,134.95053543,21,516,0.0,0.005,38.9,0.0,Mar,2,7,1,2,Returning_Visitor,False,True
0,0.0,0,0.0,52,1112,0.0167,0.024,0.0,0.0,Sep,3,2,6,3,Returning_Visitor,True,False
20,139.46547374,0,0.0,10,881,0.0061,0.014,30.4,0.0,Nov,2,4,7,1,Returning_Visitor,False,True
0,0.0,0,0.0,1,0,0.2,0.2,0.0,0.0,May,3,2,3,13,Returning_Visitor,False,False
0,0.0,0,0.0,5,103,0.0811,0.11,0.0,0.6,May,3,2,3,13,Returning_Visitor,False,False
7,1578.20182752,0,0.0,27,1449,0.0,0.004,0.0,0.0,Oct,3,2,1,2,Returning_Visitor,True,False
0,0.0,0,0.0,11,412,0.0204,0.03,0.0,1.0,May,3,2,3,3,Returning_Visitor,True,False
0,0.0,0,0.0,30,782,0.031,0.045,0.0,1.0,May,3,2,5,1,Returning_Visitor,True,False
0,0.0,2,0.0,15,459,0.0134,0.084,0.0,0.0,Mar,2,2,1,1,Returning_Visitor,False,False
3,73.60455841,0,0.0,32,1655,0.0134,0.023,0.0,0.0,Mar,2,2,3,2,Returning_Visitor,False,False
4,194.88336005,2,77.70801496,31,2125,0.0,0.002,15.5,0.0,Nov,2,4,3,8,New_Visitor,False,True
1,249.368279,0,0.0,10,496,0.0202,0.039,0.0,0.0,Dec,3,3,3,3,Returning_Visitor,False,False
0,0.0,0,0.0,1,20,0.0,0.067,0.0,0.0,Nov,3,2,1,10,Returning_Visitor,True,False
3,44.61791193,0,0.0,55,2165,0.0,0.009,34.1,0.0,Aug,2,2,9,3,Returning_Visitor,True,False
1,153.99909392,0,0.0,10,551,0.0,0.014,0.0,0.0,Sep,2,2,1,2,Returning_Visitor,False,False
0,0.0,0,0.0,24,782,0.0397,0.048,0.0,0.0,May,2,2,1,1,Returning_Visitor,False,False
0,0.0,0,0.0,15,893,0.0273,0.032,0.0,0.6,May,2,2,1,13,Returning_Visitor,False,False
0,0.0,0,0.0,8,259,0.0096,0.073,0.0,0.8,May,2,2,1,2,Returning_Visitor,False,False
0,0.0,0,0.0,18,1030,0.0326,0.057,0.0,0.0,Mar,2,2,1,3,Returning_Visitor,False,False
0,0.0,0,0.0,8,1085,0.0,0.04,0.0,0.0,Nov,3,2,1,1,Returning_Visitor,False,False
0,0.0,0,0.0,2,0,0.2,0.2,0.0,0.0,Nov,2,2,3,1,Returning_Visitor,False,False
0,0.0,0,0.0,30,581,0.0,0.009,0.0,0.0,Nov,2,2,7,2,New_Visitor,False,True
3,181.76980945,2,54.87698147,9,441,0.0,0.025,0.0,0.0,Sep,1,1,3,2,New_Visitor,True,False
0,0.0,1,161.39799842,59,1240,0.0066,0.021,0.0,0.0,May,2,2,1,13,Returning_Visitor,False,False
2,159.73153354,0,0.0,5,309,0.0,0.025,0.0,0.0,Sep,1,1,1,2,New_Visitor,False,False
3,179.22432733,0,0.0,13,1054,0.0,0.008,0.0,0.0,Aug,2,2,4,3,New_Visitor,False,False
2,486.26707085,0,0.0,20,664,0.0,0.001,0.0,0.6,May,2,2,1,4,Returning_Visitor,False,False
3,391.06725327,0,0.0,16,770,0.0,0.01,12.4,0.0,Mar,2,2,9,3,Returning_Visitor,False,False
5,146.52459205,0,0.0,3,50,0.0,0.033,0.0,0.0,Dec,3,2,9,8,New_Visitor,False,False
0,0.0,0,0.0,5,72,0.041,0.08,0.0,0.0,Nov,3,2,1,8,New_Visitor,True,False
0,0.0,0,0.0,8,84,0.0,0.044,0.0,0.0,Dec,2,2,3,7,Returning_Visitor,False,False
1,0.0,0,0.0,3,24,0.0,0.022,0.0,0.4,Feb,2,4,2,3,Returning_Visitor,False,False
0,0.0,0,0.0,2,0,0.2,0.2,0.0,0.0,Mar,2,2,1,13,Returning_Visitor,False,False
1,42.58413763,0,0.0,104,2620,0.0,0.011,1.4,0.0,Sep,2,4,1,1,Returning_Visitor,False,False
6,295.47679384,7,105.08077717,120,8716,0.0067,0.022,8.9,0.0,May,2,2,1,1,Returning_Visitor,False,False
0,0.0,0,0.0,16,445,0.0167,0.049,0.0,0.0,Nov,2,4,1,3,Returning_Visitor,False,False
0,0.0,0,0.0,19,292,0.0143,0.013,0.0,0.0,Nov,2,2,1,2,New_Visitor,False,False
1,43.82472435,1,41.3367066,53,2999,0.0066,0.026,8.1,0.6,May,2,6,2,2,Returning_Visitor,False,True
1,16.15521967,0,0.0,23,1396,0.0,0.005,0.0,0.0,Feb,2,2,1,13,Returning_Visitor,False,False
4,74.87805983,0,0.0,3,106,0.0,0.037,0.0,0.0,Nov,1,1,4,2,Returning_Visitor,False,False
0,0.0,0,0.0,9,843,0.0,0.067,0.0,0.0,Mar,2,2,1,2,Returning_Visitor,True,False
8,96.6519789,1,304.37431776,41,2412,0.0,0.009,222.9,0.0,Mar,2,2,2,2,Returning_Visitor,True,True
0,0.0,0,0.0,2,225,0.0167,0.083,0.0,0.0,Nov,3,2,3,13,Returning_Visitor,True,False
1,0.0,0,0.0,2,0,0.2,0.2,0.0,0.0,Dec,2,13,9,20,Returning_Visitor,False,False
6,77.34131234,0,0.0,106,8671,0.0026,0.018,0.0,0.0,Nov,2,2,2,1,Returning_Visitor,False,False
4,78.39825724,2,1462.69380153,118,4941,0.0011,0.011,0.0,0.0,Nov,2,4,4,1,Returning_Visitor,False,True
0,0.0,0,0.0,8,74,0.0579,0.1,0.0,0.0,Mar,3,2,1,1,Returning_Visitor,False,False
11,235.72106803,0,0.0,28,882,0.0073,0.033,0.0,0.0,Dec,3,2,1,3,Returning_Visitor,True,False
20,170.97000349,0,0.0,59,2963,0.0044,0.014,0.0,0.0,Dec,1,1,1,2,Returning_Visitor,False,False
0,0.0,0,0.0,1,0,0.2,0.2,0.0,0.6,May,3,2,4,11,Returning_Visitor,False,False
10,466.20156299,0,0.0,23,620,0.0,0.004,170.5,0.0,Nov,4,2,9,2,Returning_Visitor,False,True
23,438.54373029,3,147.24807609,157,5955,0.0007,0.015,0.8,0.0,May,2,4,1,3,Returning_Visitor,False,False
0,0.0,0,0.0,14,931,0.036,0.059,4.3,0.0,Nov,3,2,1,1,Returning_Visitor,False,True
0,0.0,0,0.0,2,0,0.2,0.2,0.0,0.0,Dec,2,2,1,1,Returning_Visitor,False,False
0,0.0,0,0.0,25,1549,0.0269,0.051,7.3,1.0,May,1,1,1,2,Returning_Visitor,True,False
2,393.89116802,0,0.0,15,711,0.0,0.005,0.0,0.0,Nov,3,3,1,2,New_Visitor,False,False
0,0.0,0,0.0,20,341,0.0155,0.038,0.0,0.2,May,2,6,1,1,Returning_Visitor,False,False
3,105.84386465,0,0.0,48,516,0.0216,0.02,0.0,0.0,Oct,3,2,1,13,Returning_Visitor,False,False
1,28.5108875,1,0.0,77,4355,0.0041,0.024,0.0,0.0,Dec,2,2,3,3,Returning_Visitor,True,False
0,0.0,0,0.0,10,2109,0.01,0.033,0.0,0.0,Mar,2,2,1,3,Returning_Visitor,False,False
8,1061.42631658,0,0.0,31,1928,0.0053,0.014,9.4,0.0,Nov,1,1,3,2,Returning_Visitor,True,False
0,0.0,0,0.0,4,141,0.0,0.015,0.0,0.8,May,2,4,3,2,Returning_Visitor,False,False
0,0.0,2,28.18512409,21,939,0.0,0.022,0.0,0.0,Dec,1,1,1,4,Returning_Visitor,True,False
9,263.19918833,0,0.0,7,250,0.0952,0.027,0.0,0.0,Nov,3,2,1,13,Returning_Visitor,False,False
0,0.0,0,0.0,38,7442,0.0275,0.058,0.0,0.0,Nov,2,2,9,10,Returning_Visitor,False,False
5,99.4784933,0,0.0,24,684,0.0118,0.019,16.0,0.0,May,1,1,3,1,Returning_Visitor,True,False
24,230.56041864,0,0.0,28,541,0.0,0.007,1.4,0.0,Nov,2,2,4,3,Returning_Visitor,False,False
0,0.0,1,14.01136139,12,418,0.0037,0.031,0.0,0.0,Dec,4,1,3,8,New_Visitor,False,False
4,93.50313779,0,0.0,32,1660,0.01,0.032,0.0,0.0,June,2,2,4,1,Returning_Visitor,False,False
0,0.0,0,0.0,6,245,0.0,0.025,0.0,0.0,May,1,1,3,3,Returning_Visitor,False,False
0,0.0,0,0.0,11,197,0.0,0.057,0.0,0.0,May,3,3,1,4,Returning_Visitor,False,False
1,25.06927444,0,0.0,12,148,0.0,0.015,0.0,0.0,May,2,2,6,5,New_Visitor,False,False
4,153.5997624,0,0.0,9,174,0.0305,0.071,0.0,0.0,Mar,3,2,4,2,Returning_Visitor,False,False
0,0.0,0,0.0,14,660,0.0128,0.014,0.0,0.0,May,2,2,5,4,Returning_Visitor,True,False
0,0.0,0,0.0,15,685,0.0,0.045,0.0,0.0,Nov,2,2,9,2,Returning_Visitor,False,False
0,0.0,0,0.0,5,1018,0.1041,0.116,0.0,0.0,Mar,3,2,1,1,Returning_Visitor,False,False
5,157.30414408,0,0.0,26,690,0.0011,0.005,0.0,0.0,Oct,2,2,3,2,Returning_Visitor,False,False
23,232.26050959,2,143.888714,275,21507,0.0012,0.025,2.1,0.0,Nov,2,2,1,13,Returning_Visitor,False,True
13,257.46854188,0,0.0,173,2480,0.0025,0.012,14.7,0.0,Nov,2,2,1,2,Returning_Visitor,True,True
20,612.67701306,0,0.0,78,2467,0.0,0.013,18.3,0.0,Aug,2,2,5,2,Returning_Visitor,False,False
0,0.0,0,0.0,3,166,0.0701,0.118,0.0,0.6,May,2,2,5,2,Returning_Visitor,False,False
4,189.97688062,1,26.62811439,36,443,0.0,0.013,9.5,0.0,May,3,2,4,5,Returning_Visitor,True,True
0,0.0,0,0.0,11,88,0.0,0.008,0.0,0.0,May,2,4,1,2,Returning_Visitor,False,False
0,0.0,1,35.71969721,1,40,0.0,0.1,0.0,0.0,May,2,2,2,3,Returning_Visitor,False,False
0,0.0,0,0.0,3,891,0.0125,0.06,0.0,0.0,Nov,1,1,6,10,Returning_Visitor,True,False
1,0.26923065,0,0.0,7,193,0.0297,0.067,0.0,0.0,Nov,2,2,1,1,Returning_Visitor,False,False
0,0.0,0,0.0,6,24,0.0,0.067,0.0,0.0,Dec,2,10,9,3,Returning_Visitor,False,False
0,0.0,1,16.16762786,2,67,0.0,0.05,0.0,0.0,Jul,3,2,4,3,Returning_Visitor,False,False
5,143.71489596,0,0.0,25,1132,0.0,0.005,0.0,0.0,June,2,2,4,2,New_Visitor,False,False
5,84.68953551,1,95.98592617,44,809,0.0072,0.015,7.0,1.0,May,2,2,6,3,Returning_Visitor,True,True
23,468.28329708,0,0.0,333,7355,0.0021,0.013,4.8,0.0,Oct,2,2,9,13,Returning_Visitor,False,True
1,65.99884409,0,0.0,6,127,0.0,0.011,0.0,0.0,May,1,1,1,2,Returning_Visitor,False,False
0,0.0,0,0.0,6,124,0.0,0.029,0.0,0.0,Mar,2,2,5,2,Returning_Visitor,False,False
23,214.08462843,9,41.76997495,90,1331,0.0,0.008,6.8,0.0,Mar,2,2,1,2,Returning_Visitor,True,False
0,0.0,0,0.0,9,367,0.0804,0.083,0.0,0.0,Sep,3,2,1,1,Returning_Visitor,False,False
4,48.11062061,0,0.0,64,3798,0.0168,0.024,2.6,0.8,May,1,2,1,2,Returning_Visitor,False,False
3,179.53746098,1,0.0,60,2625,0.0,0.002,146.2,0.0,Dec,2,2,1,8,Returning_Visitor,False,True
0,0.0,0,0.0,9,1114,0.0044,0.056,0.0,0.8,May,2,4,1,6,Returning_Visitor,False,False
7,188.58936731,0,0.0,32,520,0.0137,0.064,0.0,0.0,Oct,3,2,3,2,Returning_Visitor,False,False
0,0.0,0,0.0,5,99,0.0202,0.05,0.0,0.0,June,3,2,3,1,Returning_Visitor,True,False
0,0.0,0,0.0,10,2243,0.0,0.016,0.0,0.8,May,2,2,4,1,Returning_Visitor,False,False
1,153.22147542,0,0.0,50,890,0.0,0.001,4.7,0.0,May,2,2,7,2,Returning_Visitor,False,True
1,4.18657772,0,0.0,3,1030,0.0,0.03,0.0,0.0,Sep,2,4,6,2,Returning_Visitor,False,False
5,179.20740597,0,0.0,13,894,0.0074,0.047,17.5,0.0,May,3,3,1,5,New_Visitor,False,True
0,0.0,0,0.0,34,2168,0.0085,0.023,0.0,0.0,Nov,2,2,7,2,Returning_Visitor,False,False
0,0.0,1,44.96734644,19,1221,0.01,0.022,15.6,0.0,Mar,1,2,1,2,Returning_Visitor,True,True
0,0.0,0,0.0,3,214,0.0,0.057,0.0,0.0,May,2,2,1,4,Returning_Visitor,False,False
5,81.79813753,0,0.0,20,408,0.0,0.004,34.6,0.0,Nov,2,2,1,2,Returning_Visitor,False,True
0,0.0,2,234.80839323,17,884,0.0143,0.026,0.0,0.0,Nov,3,2,1,2,New_Visitor,True,False
0,0.0,0,0.0,4,0,0.2,0.2,0.0,0.0,Aug,3,2,9,1,Returning_Visitor,True,False
0,0.0,0,0.0,3,9,0.0,0.067,0.0,0.0,Mar,3,2,7,1,Returning_Visitor,False,False
4,143.44231337,1,55.71564881,56,2319,0.0,0.017,7.4,0.0,Nov,2,2,4,20,Returning_Visitor,False,False
6,628.45892058,5,478.49833104,388,4798,0.0039,0.015,6.7,0.0,Nov,2,2,1,2,Returning_Visitor,False,True
0,0.0,0,0.0,30,781,0.0,0.022,0.0,0.0,May,2,2,9,2,Returning_Visitor,False,False
0,0.0,0,0.0,7,58,0.0252,0.033,0.0,0.6,May,1,1,2,1,Returning_Visitor,False,False
3,41.831942,0,0.0,66,1831,0.0,0.007,0.0,0.0,June,3,2,2,2,Returning_Visitor,True,False
0,0.0,1,16.03331498,5,409,0.0783,0.133,0.0,0.0,Dec,2,2,1,1,Returning_Visitor,False,False
2,28.96008678,2,124.66447484,77,1756,0.0,0.009,0.0,0.0,Mar,2,4,4,2,Returning_Visitor,True,False
6,56.06682253,2,24.96885547,2,93,0.0,0.019,53.7,0.0,Oct,2,2,4,1,Returning_Visitor,False,False
0,0.0,0,0.0,20,1615,0.0388,0.071,0.0,0.0,Nov,1,1,1,1,Returning_Visitor,True,False
0,0.0,0,0.0,9,121,0.0294,0.054,0.0,0.0,May,2,2,1,1,Returning_Visitor,True,False
0,0.0,0,0.0,4,14,0.1376,0.17,0.0,0.6,May,3,2,6,1,Returning_Visitor,False,False
0,0.0,0,0.0,8,132,0.0,0.014,0.0,0.0,Dec,2,2,6,2,Returning_Visitor,False,False
2,14.77588312,0,0.0,29,251,0.0,0.021,7.5,0.0,Mar,2,2,4,2,Returning_Visitor,False,True
0,0.0,0,0.0,41,726,0.2,0.2,0.0,0.0,Sep,3,2,1,1,Returning_Visitor,False,False
1,6.55748816,0,0.0,52,967,0.0,0.011,54.5,0.0,May,2,2,3,2,Returning_Visitor,False,True
0,0.0,0,0.0,21,841,0.0,0.007,0.0,0.0,Nov,1,1,6,3,Returning_Visitor,False,False
0,0.0,0,0.0,4,55,0.0,0.05,0.0,0.0,Aug,2,2,1,1,Returning_Visitor,False,False
0,0.0,1,0.0,5,256,0.0,0.058,0.0,0.0,Dec,3,2,2,2,Returning_Visitor,False,False
0,0.0,0,0.0,22,340,0.075,0.123,0.0,0.8,Feb,2,4,1,3,Returning_Visitor,False,False
0,0.0,0,0.0,1,0,0.2,0.2,0.0,0.0,Dec,4,2,1,8,New_Visitor,True,False
0,0.0,0,0.0,6,450,0.0,0.033,0.0,0.2,May,3,2,8,13,Returning_Visitor,False,False
23,89.90800638,6,539.92687277,6,71,0.0,0.033,0.0,0.0,Nov,1,1,3,2,New_Visitor,False,False
0,0.0,0,0.0,18,1064,0.0221,0.048,0.0,0.0,Nov,4,1,1,2,Returning_Visitor,True,False
4,935.7687066,1,20.98995716,23,1842,0.0059,0.025,26.4,0.0,Dec,4,2,6,2,Returning_Visitor,False,True
0,0.0,0,0.0,15,330,0.02,0.026,0.0,0.0,Sep,2,4,1,3,Returning_Visitor,False,False
2,33.13166682,0,0.0,74,1334,0.0042,0.014,2.7,0.0,Nov,2,2,1,3,Returning_Visitor,False,False
0,0.0,0,0.0,35,452,0.0,0.016,0.0,0.0,Mar,2,2,1,1,Returning_Visitor,False,False
1,59.17445744,0,0.0,13,229,0.0154,0.041,0.0,0.0,Nov,3,2,1,2,Returning_Visitor,False,False
10,267.78466956,5,1471.04595665,123,4267,0.0107,0.015,3.6,0.0,Nov,3,2,4,1,Returning_Visitor,False,False
3,75.56539381,0,0.0,64,1358,0.0135,0.034,0.0,0.0,Dec,2,2,1,13,Returning_Visitor,False,False
0,0.0,0,0.0,5,65,0.0,0.04,0.0,0.0,Nov,2,2,7,20,Returning_Visitor,True,False
4,59.63867286,3,351.22581108,69,3410,0.0108,0.037,0.0,0.0,Nov,1,2,8,3,Returning_Visitor,False,True
10,269.48010556,9,1065.05873476,439,6827,0.0024,0.009,18.5,0.0,May,2,2,3,2,Returning_Visitor,False,True
2,19.42701744,0,0.0,45,1078,0.0,0.02,0.0,0.0,Jul,2,2,1,1,Returning_Visitor,False,True
2,40.2789252,0,0.0,37,907,0.0,0.031,0.0,0.4,May,1,1,2,4,Returning_Visitor,False,False
0,0.0,0,0.0,2,61,0.1082,0.175,0.0,0.0,May,2,6,3,4,Returning_Visitor,False,False
8,290.80735214,0,0.0,141,4825,0.0,0.009,83.5,0.0,Nov,2,2,7,1,Returning_Visitor,False,True
2,44.60604868,0,0.0,5,353,0.0404,0.04,0.0,0.0,Nov,3,2,4,13,Returning_Visitor,False,False
9,78.36075761,3,16.01993547,64,1737,0.0,0.018,0.0,0.0,Oct,2,2,4,2,Returning_Visitor,True,False
2,181.51242362,0,0.0,24,190,0.0,0.005,0.0,0.0,Dec,2,2,4,8,Returning_Visitor,True,False
0,0.0,0,0.0,2,12,0.0,0.04,0.0,0.0,June,3,2,1,6,Returning_Visitor,False,False
